GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InsuranceClaim,traltb.example,AccountService,0,42,2,12,0,10,2,9,0,4
InsuranceClaim,traltb.example,InsuranceClaim,0,92,1,13,0,26,1,14,0,8
